Account No,Calendar_year,Month_num
93-3088-2950-02,2022,6
93-3092-0450-01,2014,11
93-3100-0200-01,2010,3
93-3100-0200-01,2022,9
93-3100-0300-05,2015,6
93-3100-0400-01,2010,2
93-3100-0400-01,2013,3
93-3100-0500-07,2018,3
93-3100-0500-07,2018,6
93-3100-0550-07,2015,7
93-3100-0550-07,2016,4
93-3100-0600-02,2020,3
93-3105-0300-08,2015,3
93-3105-0500-01,2022,6
93-3105-0500-01,2022,7
93-3105-0500-01,2022,8
93-3109-0600-01,2012,2
93-3113-0300-01,2017,5
93-3114-1200-01,2022,7
93-3114-1250-01,2016,2
93-3114-1450-01,2017,9
93-3118-0700-01,2012,2
93-3119-0150-01,2018,5
93-3120-0150-01,2012,2
93-3120-0150-01,2016,2
93-3121-1100-01,2015,3
93-3130-0200-01,2016,4
93-3130-0420-02,2023,2
93-3130-0540-06,2016,3
93-3130-0660-06,2015,5
93-3130-0660-06,2016,5
93-3130-0760-01,2014,2
93-3130-1020-01,2018,6
93-3130-1020-01,2022,2
93-3130-1060-01,2013,2
93-3130-1480-01,2018,2
93-3130-1600-01,2015,11
93-3130-1740-01,2018,2
93-3130-1740-01,2019,12
93-3130-1800-01,2020,3
93-3130-1920-01,2013,5
93-3130-2440-01,2016,4
93-3130-2440-01,2019,1
93-3130-2440-01,2019,8
93-3130-2840-01,2009,3
93-3130-3340-01,2010,7
93-3130-3340-01,2014,2
93-3130-3580-04,2010,8
93-3130-3580-06,2022,9
93-3130-3660-01,2017,9
93-3132-0450-01,2010,7
93-3132-0900-01,2014,6
93-3132-0950-01,2017,4
93-3132-0950-01,2019,9
93-3132-0950-01,2022,6
93-3132-1350-07,2009,5
93-3133-0100-01,2021,12
93-3133-0100-01,2022,1
93-3133-1050-01,2011,8
93-3133-1050-01,2013,7
93-3134-0200-03,2019,2
93-3134-0500-07,2021,12
93-3134-0600-01,2019,8
93-3138-0250-01,2014,2
93-3138-0650-01,2014,11
93-3144-0500-03,2016,2
93-3144-0750-01,2021,6
93-3144-1100-04,2010,9
93-3144-1150-01,2009,9
93-3144-1600-01,2014,6
93-3147-0100-01,2013,10
93-3147-1500-03,2013,1
93-3148-0650-01,2015,8
93-3148-1100-01,2016,10
93-3148-1500-03,2010,10
93-3148-1500-03,2015,5
93-3148-1650-01,2022,6
93-3148-1650-05,2008,12
93-3148-1850-06,2016,7
93-3148-1850-07,2017,11
93-3148-3550-03,2010,4
93-3149-2300-01,2017,3
93-3149-3600-01,2013,2
93-3150-0800-06,2010,2
93-3150-1000-01,2009,11
93-3150-1750-01,2013,7
93-3150-1900-01,2016,5
93-3150-2200-01,2011,2
93-3150-2200-01,2011,12
93-3150-2200-01,2013,2
93-3150-2550-06,2019,5
93-3150-2650-06,2017,5
93-3150-2650-07,2022,8
93-3150-2850-05,2015,5
93-3150-2950-12,2017,2
93-3151-0300-03,2012,4
93-3168-0400-02,2010,8
93-3168-1350-06,2013,3
93-3169-0750-01,2009,9
93-3170-0550-01,2011,2
93-3176-2500-01,2011,5
93-3184-0650-01,2015,11
93-3184-3900-01,2023,5
93-3184-5550-01,2023,1
93-3184-5700-01,2014,5
93-3184-5700-01,2016,6
93-3184-5700-01,2018,8
93-3185-0400-01,2022,5
93-3185-0400-01,2022,5
93-3191-0200-01,2014,9
93-3191-0300-01,2018,11
93-3191-0300-01,2021,6
93-3191-0300-01,2022,2
93-3191-0300-01,2022,8
93-3192-1300-01,2022,11
93-3192-1300-01,2023,1
93-3192-2900-01,2018,3
93-3193-0650-01,2023,6
93-3197-1050-01,2009,3
93-3197-1150-02,2011,9
93-3197-1150-02,2013,12
93-3197-1250-01,2022,6
93-3197-1250-01,2022,6
93-3197-1400-01,2008,6
93-3197-1750-01,2010,8
93-3197-1800-01,2023,7
93-3197-1850-01,2008,8
93-3198-0100-01,2021,8
93-3198-0100-01,2022,6
93-3198-0100-01,2022,9
93-3198-0100-01,2022,12
93-3198-0100-01,2023,3
93-3198-0100-01,2023,4
93-3199-0250-01,2014,11
93-3199-0450-31,2022,7
93-3199-0700-01,2021,8
93-3203-0400-01,2011,10
93-3203-1350-01,2015,7
93-3203-1450-01,2010,3
93-3209-1000-01,2010,3
93-3209-1400-03,2018,3
93-3212-0350-01,2017,2
93-3212-0350-01,2018,9
93-3212-0400-05,2015,7
93-3212-0400-07,2019,6
93-3212-0400-08,2022,5
93-3212-0500-05,2012,10
93-3212-0650-01,2012,5
93-3212-0750-01,2012,11
93-3212-1200-01,2013,2
93-3212-1250-06,2013,8
93-3215-0150-05,2013,1
93-3215-0150-05,2013,10
93-3221-0650-04,2019,4
93-3237-1050-01,2008,3
93-3237-1400-01,2014,3
93-3237-1400-01,2016,10
93-3237-1550-08,2017,7
93-3237-1600-01,2021,6
93-3237-1650-01,2019,5
93-3241-0050-06,2019,1
93-3241-0050-06,2021,8
93-3241-0300-02,2010,3
93-3241-0300-03,2018,3
93-3241-0400-02,2015,5
93-3241-0650-02,2019,8
93-3241-0900-02,2010,3
93-3241-0900-02,2010,9
93-3241-1000-05,2022,7
93-3241-1050-08,2022,9
93-3241-1150-03,2014,4
93-3241-1200-06,2022,7
93-3241-1200-06,2022,8
93-3241-1875-04,2012,10
93-3241-2050-01,2012,5
93-3241-2050-05,2022,7
93-3243-0250-01,2023,6
93-3248-0700-01,2019,4
93-3250-0400-03,2023,6
93-3250-0400-03,2023,7
93-3251-0200-01,2015,2
93-3251-1450-01,2010,3
93-3251-2050-02,2017,3
93-3251-2050-02,2022,7
93-3251-2600-01,2015,3
93-3251-3850-01,2012,2
93-3251-4100-11,2016,8
93-3251-4350-01,2010,6
93-3251-4400-01,2011,9
93-3251-5150-01,2019,6
93-3251-5150-01,2019,8
93-3257-1700-01,2014,11
93-3265-0100-74,2023,6
93-3265-0200-01,2014,11
93-3266-1500-01,2018,11
93-3268-1050-04,2010,11
93-3268-1200-01,2019,8
93-3268-1200-01,2022,9
93-3268-2600-05,2010,6
93-3268-2900-01,2015,4
93-3268-3950-07,2014,3
93-3268-3950-07,2016,12
93-3268-5200-01,2015,7
93-3270-0550-03,2017,2
93-3270-2600-01,2019,12
93-3270-2600-01,2023,9
93-3271-0350-01,2016,2
93-3274-0300-06,2009,9
93-3274-1350-04,2013,7
93-3274-1350-04,2016,2
93-3274-2550-01,2021,9
93-3274-2550-13,2016,2
93-3276-0680-01,2010,1
93-3276-0680-02,2010,6
93-3276-5080-04,2008,1
93-3279-0100-08,2023,7
93-3279-0100-08,2023,7
93-3279-0200-08,2014,9
93-3279-0450-08,2010,6
93-3279-0500-07,2016,10
93-3279-0600-02,2010,5
93-3279-0600-02,2011,2
93-3279-0600-02,2011,9
93-3279-0600-02,2020,8
93-3279-0600-02,2022,11
93-3279-0650-03,2018,6
93-3279-0800-03,2016,5
93-3284-0100-03,2009,2
93-3300-0200-01,2015,6
93-3300-1300-01,2010,2
93-3300-1350-01,2016,7
93-3300-1850-01,2019,11
93-3308-0500-06,2016,5
93-3308-0650-07,2017,4
93-3309-0150-01,2021,5
93-3309-0300-05,2018,4
93-3309-0850-02,2011,3
93-3309-1350-05,2021,7
93-3310-0050-06,2016,11
93-3310-0200-09,2020,4
93-3310-0200-09,2021,9
93-3310-0300-03,2010,4
93-3310-0550-05,2018,5
93-3310-0800-02,2010,5
93-3310-0850-07,2022,6
93-3310-0850-07,2022,7
93-3312-0350-01,2011,11
93-3312-0500-07,2014,9
93-3315-0100-01,2014,5
93-3317-0150-01,2014,3
93-3317-0200-01,2014,11
93-3324-0050-05,2022,8
93-3324-0600-01,2017,5
93-3325-0250-02,2016,7
93-3325-0900-01,2012,8
93-3325-1250-01,2009,12
93-3325-1800-01,2013,2
93-3325-2550-03,2018,3
93-3325-3000-01,2012,2
93-3325-3100-08,2014,10
93-3325-3100-09,2017,8
93-3326-0150-01,2010,3
93-3326-1300-01,2011,8
93-3326-1300-01,2016,3
93-3326-1300-01,2018,6
93-3326-1750-01,2019,12
93-3330-0600-01,2012,4
93-3334-0300-05,2010,6
93-3334-0300-05,2011,5
93-3334-0350-06,2012,11
93-3334-0550-01,2022,10
93-3337-0100-08,2010,6
93-3337-0100-10,2019,4
93-3338-0200-03,2018,7
93-3338-0950-01,2018,7
93-3338-0950-01,2020,2
93-3338-0950-01,2022,8
93-3339-0200-02,2010,5
93-3342-1400-01,2016,2
93-3347-0100-01,2013,2
93-3347-0200-01,2023,4
93-3348-1250-01,2013,5
93-3350-0350-10,2012,9
93-3354-0200-01,2010,4
93-3354-0200-01,2010,8
93-3354-0750-01,2012,2
93-3355-0350-01,2010,7
93-3355-0800-01,2012,10
93-3355-0800-01,2015,10
93-3355-0900-01,2009,5
93-3355-0900-01,2023,7
93-3358-0100-01,2011,3
93-3360-0850-01,2011,9
93-3360-0850-01,2016,6
93-3360-0850-01,2018,11
93-3360-2050-01,2018,5
93-3360-2050-01,2019,8
93-3360-2050-01,2023,7
93-3360-2050-01,2023,10
93-3361-0200-01,2013,5
93-3361-0200-01,2018,3
93-3361-0300-03,2010,4
93-3361-0500-01,2009,9
93-3363-0300-06,2023,4
93-3363-0350-07,2022,9
93-3363-0600-06,2008,5
93-3363-0950-01,2014,6
93-3363-1100-06,2013,11
93-3363-1100-06,2015,1
93-3363-1150-05,2022,7
93-3363-1250-09,2022,10
93-3363-1300-01,2018,12
93-3363-1300-01,2022,5
93-3363-2250-04,2010,6
93-3363-2400-01,2014,6
93-3363-2450-03,2010,6
93-3363-2750-04,2010,4
93-3363-2750-04,2013,1
93-3363-2750-04,2013,3
93-3363-2750-05,2016,5
93-3363-2750-05,2017,4
93-3364-1600-01,2014,9
93-3364-1800-01,2012,7
93-3364-1800-01,2015,2
93-3364-2150-01,2007,9
93-3364-2150-01,2012,6
93-3364-2150-01,2015,2
93-3365-0200-01,2017,12
93-3365-0900-44,2018,6
93-3365-1200-01,2022,7
93-3365-1200-01,2022,8
93-3365-1200-01,2022,11
93-3367-1350-05,2014,10
93-3367-1500-03,2018,1
93-3367-1850-01,2011,8
93-3367-2350-03,2015,2
93-3367-2550-07,2014,11
93-3367-2550-07,2017,6
93-3367-2550-07,2020,3
93-3367-2550-07,2021,8
93-3367-3150-01,2019,3
93-3367-5000-07,2010,6
93-3367-5450-06,2010,6
93-3367-5450-08,2022,10
93-3367-5550-03,2010,5
93-3367-5550-05,2015,2
93-3367-5550-05,2016,3
93-3367-6150-01,2014,6
93-3374-0200-11,2022,5
93-3374-0700-06,2023,4
93-3374-0750-01,2020,3
93-3374-0800-05,2015,8
93-3374-0950-08,2016,5
93-3374-1000-07,2018,2
93-3374-1150-01,2009,7
93-3374-1200-06,2019,5
93-3374-1300-01,2021,10
93-3374-1300-08,2016,6
93-3374-1400-01,2009,11
93-3374-1400-04,2013,1
93-3374-1400-04,2016,4
93-3374-1450-01,2010,2
93-3374-1450-05,2019,2
93-3374-1500-06,2011,7
93-3374-1500-07,2012,3
93-3374-1800-09,2015,2
93-3374-1850-03,2017,7
93-3374-1950-10,2023,2
93-3374-2050-07,2023,1
93-3380-0100-03,2010,8
93-3381-0700-01,2009,12
93-3381-1350-01,2016,7
93-3381-1700-10,2016,6
93-3385-2050-01,2018,8
9330140850015,2023,10
9330341000022,2021,3
9330461050013,2023,3
9330632400014,2018,6
9331000600029,2018,3
9331000600029,2022,5
9331182150017,2018,2
9331303340001,2021,4
9331762500011,2016,8
9332371100045,2022,2
9332480700001,2016,3
9333100550047,2012,3
9333101100040,2013,11
93335003 5010,2015,3
933367    615,2011,5
<NA>,2009,8
